,ofi_best_AAPL,ofi_int_10s_AAPL
2024-10-21 11:54:36+00:00,0.0,0.0
2024-10-21 11:54:37+00:00,0.0,0.0
2024-10-21 11:54:39+00:00,-200.0,-200.0
2024-10-21 11:54:41+00:00,3.0,-197.0
2024-10-21 11:54:50+00:00,0.0,3.0
2024-10-21 11:54:53+00:00,-3.0,-3.0
2024-10-21 11:54:55+00:00,0.0,-3.0
2024-10-21 11:54:58+00:00,0.0,-3.0
2024-10-21 11:55:09+00:00,0.0,0.0
2024-10-21 11:55:13+00:00,0.0,0.0
2024-10-21 11:55:22+00:00,0.0,0.0
2024-10-21 11:55:26+00:00,200.0,200.0
2024-10-21 11:55:30+00:00,0.0,200.0
2024-10-21 11:55:31+00:00,0.0,200.0
2024-10-21 11:55:34+00:00,137.0,337.0
2024-10-21 11:55:35+00:00,-139.0,198.0
2024-10-21 11:55:38+00:00,-200.0,-202.0
2024-10-21 11:55:44+00:00,-371.0,-710.0
2024-10-21 11:55:51+00:00,100.0,-271.0
2024-10-21 11:55:53+00:00,0.0,-271.0
2024-10-21 11:55:54+00:00,-72.0,28.0
2024-10-21 11:55:55+00:00,-200.0,-172.0
2024-10-21 11:55:58+00:00,0.0,-172.0
2024-10-21 11:56:07+00:00,0.0,0.0
2024-10-21 11:56:10+00:00,0.0,0.0
2024-10-21 11:56:11+00:00,26.0,26.0
2024-10-21 11:56:14+00:00,0.0,26.0
2024-10-21 11:56:15+00:00,0.0,26.0
2024-10-21 11:56:17+00:00,0.0,26.0
2024-10-21 11:56:23+00:00,27.0,27.0
2024-10-21 11:56:24+00:00,0.0,27.0
2024-10-21 11:56:25+00:00,0.0,27.0
2024-10-21 11:56:29+00:00,0.0,27.0
2024-10-21 11:56:34+00:00,0.0,0.0
2024-10-21 11:56:42+00:00,0.0,0.0
2024-10-21 11:56:43+00:00,100.0,100.0
2024-10-21 11:56:47+00:00,0.0,100.0
2024-10-21 11:56:51+00:00,0.0,100.0
2024-10-21 11:56:55+00:00,0.0,0.0
2024-10-21 11:57:04+00:00,0.0,0.0
2024-10-21 11:57:06+00:00,1.0,1.0
2024-10-21 11:57:14+00:00,0.0,1.0
2024-10-21 11:57:15+00:00,0.0,1.0
2024-10-21 11:57:17+00:00,0.0,0.0
2024-10-21 11:57:20+00:00,-80.0,-80.0
2024-10-21 11:57:23+00:00,23.0,-57.0
2024-10-21 11:57:25+00:00,-1.0,-58.0
2024-10-21 11:57:26+00:00,0.0,-58.0
2024-10-21 11:57:28+00:00,0.0,-58.0
2024-10-21 11:57:29+00:00,0.0,-58.0
2024-10-21 11:57:30+00:00,0.0,22.0
2024-10-21 11:57:31+00:00,0.0,22.0
2024-10-21 11:57:36+00:00,-23.0,-23.0
2024-10-21 11:57:37+00:00,1.0,-22.0
2024-10-21 11:57:38+00:00,0.0,-22.0
2024-10-21 11:57:40+00:00,0.0,-22.0
2024-10-21 11:57:41+00:00,0.0,-22.0
2024-10-21 11:57:42+00:00,0.0,-22.0
2024-10-21 11:57:48+00:00,0.0,0.0
2024-10-21 11:57:51+00:00,0.0,0.0
2024-10-21 11:57:52+00:00,0.0,0.0
2024-10-21 11:57:58+00:00,0.0,0.0
2024-10-21 11:58:06+00:00,0.0,0.0
2024-10-21 11:58:14+00:00,0.0,0.0
2024-10-21 11:58:18+00:00,45.0,45.0
2024-10-21 11:58:19+00:00,0.0,45.0
2024-10-21 11:58:21+00:00,0.0,45.0
2024-10-21 11:58:32+00:00,0.0,0.0
2024-10-21 11:58:37+00:00,0.0,0.0
2024-10-21 11:58:40+00:00,0.0,0.0
2024-10-21 11:58:50+00:00,0.0,0.0
2024-10-21 11:58:53+00:00,-90.0,-90.0
2024-10-21 11:58:54+00:00,-60.0,-150.0
2024-10-21 11:58:58+00:00,60.0,-90.0
2024-10-21 11:58:59+00:00,-100.0,-190.0
2024-10-21 11:59:00+00:00,0.0,-190.0
2024-10-21 11:59:01+00:00,0.0,-190.0
2024-10-21 11:59:02+00:00,0.0,-190.0
2024-10-21 11:59:05+00:00,0.0,-40.0
2024-10-21 11:59:22+00:00,0.0,0.0
2024-10-21 11:59:24+00:00,0.0,0.0
2024-10-21 11:59:29+00:00,0.0,0.0
2024-10-21 11:59:30+00:00,-177.0,-177.0
2024-10-21 11:59:33+00:00,0.0,-177.0
2024-10-21 11:59:40+00:00,-6.0,-6.0
2024-10-21 11:59:44+00:00,0.0,-6.0
2024-10-21 11:59:56+00:00,0.0,0.0
2024-10-21 11:59:57+00:00,0.0,0.0
2024-10-21 11:59:58+00:00,0.0,0.0
2024-10-21 12:00:01+00:00,0.0,0.0
2024-10-21 12:00:02+00:00,0.0,0.0
2024-10-21 12:00:03+00:00,0.0,0.0
2024-10-21 12:00:04+00:00,0.0,0.0
2024-10-21 12:00:06+00:00,0.0,0.0
2024-10-21 12:00:07+00:00,18.0,18.0
2024-10-21 12:00:08+00:00,0.0,18.0
2024-10-21 12:00:11+00:00,0.0,18.0
2024-10-21 12:00:14+00:00,0.0,18.0
2024-10-21 12:00:15+00:00,0.0,18.0
2024-10-21 12:00:16+00:00,0.0,18.0
2024-10-21 12:00:30+00:00,0.0,0.0
2024-10-21 12:00:31+00:00,0.0,0.0
2024-10-21 12:00:34+00:00,0.0,0.0
2024-10-21 12:00:35+00:00,0.0,0.0
2024-10-21 12:00:40+00:00,0.0,0.0
2024-10-21 12:00:51+00:00,-20.0,-20.0
2024-10-21 12:00:52+00:00,0.0,-20.0
2024-10-21 12:00:53+00:00,0.0,-20.0
2024-10-21 12:00:57+00:00,0.0,-20.0
2024-10-21 12:00:58+00:00,0.0,-20.0
2024-10-21 12:01:00+00:00,0.0,-20.0
2024-10-21 12:01:01+00:00,0.0,0.0
2024-10-21 12:01:02+00:00,0.0,0.0
2024-10-21 12:01:04+00:00,0.0,0.0
2024-10-21 12:01:05+00:00,0.0,0.0
2024-10-21 12:01:06+00:00,0.0,0.0
2024-10-21 12:01:07+00:00,0.0,0.0
2024-10-21 12:01:09+00:00,1.0,1.0
2024-10-21 12:01:11+00:00,0.0,1.0
2024-10-21 12:01:13+00:00,0.0,1.0
2024-10-21 12:01:33+00:00,0.0,0.0
2024-10-21 12:01:35+00:00,0.0,0.0
2024-10-21 12:01:36+00:00,199.0,199.0
2024-10-21 12:01:37+00:00,200.0,399.0
2024-10-21 12:01:42+00:00,0.0,399.0
2024-10-21 12:01:44+00:00,0.0,399.0
2024-10-21 12:01:46+00:00,100.0,300.0
2024-10-21 12:01:48+00:00,0.0,100.0
2024-10-21 12:01:50+00:00,0.0,100.0
2024-10-21 12:01:59+00:00,-99.0,-99.0
2024-10-21 12:02:01+00:00,-200.0,-299.0
2024-10-21 12:02:05+00:00,-1.0,-300.0
2024-10-21 12:02:07+00:00,200.0,-100.0
2024-10-21 12:02:17+00:00,0.0,0.0
2024-10-21 12:02:18+00:00,0.0,0.0
2024-10-21 12:02:30+00:00,0.0,0.0
2024-10-21 12:02:44+00:00,99.0,99.0
2024-10-21 12:02:48+00:00,-99.0,0.0
2024-10-21 12:02:49+00:00,0.0,0.0
2024-10-21 12:02:54+00:00,-200.0,-299.0
2024-10-21 12:02:56+00:00,200.0,-99.0
2024-10-21 12:02:58+00:00,0.0,0.0
2024-10-21 12:02:59+00:00,0.0,0.0
2024-10-21 12:03:04+00:00,0.0,200.0
2024-10-21 12:03:23+00:00,0.0,0.0
2024-10-21 12:03:36+00:00,200.0,200.0
2024-10-21 12:03:37+00:00,0.0,200.0
2024-10-21 12:03:38+00:00,1.0,201.0
2024-10-21 12:03:55+00:00,-200.0,-200.0
2024-10-21 12:03:56+00:00,0.0,-200.0
2024-10-21 12:04:00+00:00,0.0,-200.0
2024-10-21 12:04:01+00:00,0.0,-200.0
2024-10-21 12:04:05+00:00,0.0,0.0
2024-10-21 12:04:12+00:00,0.0,0.0
2024-10-21 12:04:16+00:00,0.0,0.0
2024-10-21 12:04:19+00:00,0.0,0.0
2024-10-21 12:04:26+00:00,0.0,0.0
2024-10-21 12:04:27+00:00,0.0,0.0
2024-10-21 12:04:40+00:00,0.0,0.0
2024-10-21 12:04:47+00:00,3.0,3.0
2024-10-21 12:04:51+00:00,0.0,3.0
2024-10-21 12:04:54+00:00,0.0,3.0
2024-10-21 12:05:01+00:00,0.0,0.0
2024-10-21 12:05:05+00:00,0.0,0.0
2024-10-21 12:05:15+00:00,0.0,0.0
2024-10-21 12:05:18+00:00,0.0,0.0
2024-10-21 12:05:27+00:00,13.0,13.0
2024-10-21 12:05:30+00:00,1200.0,1213.0
2024-10-21 12:05:35+00:00,0.0,1213.0
2024-10-21 12:05:40+00:00,323.0,323.0
2024-10-21 12:05:41+00:00,-200.0,123.0
2024-10-21 12:05:43+00:00,124.0,247.0
2024-10-21 12:05:45+00:00,0.0,247.0
2024-10-21 12:05:46+00:00,-200.0,47.0
2024-10-21 12:05:47+00:00,0.0,47.0
2024-10-21 12:05:48+00:00,-50.0,-3.0
2024-10-21 12:05:49+00:00,0.0,-3.0
2024-10-21 12:05:52+00:00,0.0,-126.0
2024-10-21 12:05:55+00:00,0.0,-250.0
2024-10-21 12:05:57+00:00,0.0,-50.0
2024-10-21 12:06:05+00:00,5.0,5.0
2024-10-21 12:06:06+00:00,0.0,5.0
2024-10-21 12:06:07+00:00,-100.0,-95.0
2024-10-21 12:06:08+00:00,0.0,-95.0
2024-10-21 12:06:17+00:00,0.0,0.0
2024-10-21 12:06:18+00:00,-5.0,-5.0
2024-10-21 12:06:19+00:00,0.0,-5.0
2024-10-21 12:06:22+00:00,0.0,-5.0
2024-10-21 12:06:29+00:00,0.0,0.0
2024-10-21 12:06:31+00:00,0.0,0.0
2024-10-21 12:06:39+00:00,-200.0,-200.0
2024-10-21 12:06:46+00:00,0.0,-200.0
2024-10-21 12:06:48+00:00,20.0,-180.0
2024-10-21 12:06:49+00:00,0.0,20.0
2024-10-21 12:06:51+00:00,0.0,20.0
2024-10-21 12:06:53+00:00,0.0,20.0
2024-10-21 12:06:56+00:00,80.0,100.0
2024-10-21 12:06:57+00:00,0.0,100.0
2024-10-21 12:06:59+00:00,-100.0,-20.0
2024-10-21 12:07:03+00:00,200.0,180.0
2024-10-21 12:07:06+00:00,0.0,100.0
2024-10-21 12:07:21+00:00,0.0,0.0
2024-10-21 12:07:24+00:00,172.0,172.0
2024-10-21 12:07:31+00:00,200.0,372.0
2024-10-21 12:07:32+00:00,0.0,372.0
2024-10-21 12:07:33+00:00,-200.0,172.0
2024-10-21 12:07:34+00:00,200.0,200.0
2024-10-21 12:07:51+00:00,28.0,28.0
2024-10-21 12:07:52+00:00,5.0,33.0
2024-10-21 12:07:53+00:00,0.0,33.0
2024-10-21 12:07:54+00:00,-5.0,28.0
2024-10-21 12:07:57+00:00,100.0,128.0
2024-10-21 12:07:58+00:00,-150.0,-22.0
2024-10-21 12:08:07+00:00,-50.0,-200.0
2024-10-21 12:08:11+00:00,62.0,12.0
2024-10-21 12:08:22+00:00,-56.0,-56.0
2024-10-21 12:08:25+00:00,200.0,144.0
2024-10-21 12:08:36+00:00,200.0,200.0
2024-10-21 12:08:37+00:00,-200.0,0.0
2024-10-21 12:08:38+00:00,-100.0,-100.0
2024-10-21 12:08:39+00:00,200.0,100.0
2024-10-21 12:08:41+00:00,200.0,300.0
2024-10-21 12:08:44+00:00,-43.0,257.0
2024-10-21 12:08:45+00:00,0.0,257.0
2024-10-21 12:08:46+00:00,-57.0,0.0
2024-10-21 12:08:56+00:00,0.0,0.0
2024-10-21 12:09:01+00:00,-1.0,-1.0
2024-10-21 12:09:02+00:00,0.0,-1.0
2024-10-21 12:09:04+00:00,200.0,199.0
2024-10-21 12:09:06+00:00,200.0,399.0
2024-10-21 12:09:10+00:00,10.0,409.0
2024-10-21 12:09:12+00:00,0.0,410.0
2024-10-21 12:09:13+00:00,0.0,410.0
2024-10-21 12:09:14+00:00,0.0,210.0
2024-10-21 12:09:15+00:00,0.0,210.0
2024-10-21 12:09:18+00:00,0.0,10.0
2024-10-21 12:09:26+00:00,0.0,0.0
2024-10-21 12:09:30+00:00,0.0,0.0
2024-10-21 12:09:32+00:00,-9.0,-9.0
2024-10-21 12:09:37+00:00,0.0,-9.0
2024-10-21 12:09:38+00:00,2.0,-7.0
2024-10-21 12:09:42+00:00,0.0,2.0
2024-10-21 12:09:43+00:00,0.0,2.0
2024-10-21 12:09:45+00:00,0.0,2.0
2024-10-21 12:09:48+00:00,0.0,0.0
2024-10-21 12:09:49+00:00,0.0,0.0
2024-10-21 12:09:53+00:00,0.0,0.0
2024-10-21 12:09:54+00:00,0.0,0.0
2024-10-21 12:09:57+00:00,0.0,0.0
2024-10-21 12:10:01+00:00,0.0,0.0
2024-10-21 12:10:02+00:00,0.0,0.0
2024-10-21 12:10:03+00:00,0.0,0.0
2024-10-21 12:10:12+00:00,0.0,0.0
2024-10-21 12:10:13+00:00,0.0,0.0
2024-10-21 12:10:20+00:00,-2.0,-2.0
2024-10-21 12:10:23+00:00,0.0,-2.0
2024-10-21 12:10:24+00:00,0.0,-2.0
2024-10-21 12:10:29+00:00,0.0,-2.0
2024-10-21 12:10:32+00:00,0.0,0.0
2024-10-21 12:10:36+00:00,0.0,0.0
2024-10-21 12:10:42+00:00,0.0,0.0
2024-10-21 12:10:43+00:00,0.0,0.0
2024-10-21 12:10:45+00:00,0.0,0.0
2024-10-21 12:10:50+00:00,0.0,0.0
2024-10-21 12:10:52+00:00,0.0,0.0
2024-10-21 12:10:53+00:00,0.0,0.0
2024-10-21 12:10:54+00:00,0.0,0.0
2024-10-21 12:10:57+00:00,0.0,0.0
2024-10-21 12:10:59+00:00,0.0,0.0
2024-10-21 12:11:00+00:00,0.0,0.0
2024-10-21 12:11:02+00:00,0.0,0.0
2024-10-21 12:11:08+00:00,0.0,0.0
2024-10-21 12:11:10+00:00,0.0,0.0
2024-10-21 12:11:11+00:00,0.0,0.0
2024-10-21 12:11:18+00:00,0.0,0.0
2024-10-21 12:11:21+00:00,0.0,0.0
2024-10-21 12:11:22+00:00,0.0,0.0
2024-10-21 12:11:23+00:00,0.0,0.0
2024-10-21 12:11:25+00:00,0.0,0.0
2024-10-21 12:11:27+00:00,0.0,0.0
2024-10-21 12:11:30+00:00,0.0,0.0
2024-10-21 12:11:34+00:00,0.0,0.0
2024-10-21 12:11:36+00:00,-20.0,-20.0
2024-10-21 12:11:37+00:00,0.0,-20.0
2024-10-21 12:11:40+00:00,0.0,-20.0
2024-10-21 12:11:43+00:00,0.0,-20.0
2024-10-21 12:11:45+00:00,0.0,-20.0
2024-10-21 12:11:48+00:00,0.0,0.0
2024-10-21 12:11:50+00:00,0.0,0.0
2024-10-21 12:11:53+00:00,0.0,0.0
2024-10-21 12:11:56+00:00,0.0,0.0
2024-10-21 12:12:02+00:00,20.0,20.0
2024-10-21 12:12:08+00:00,0.0,20.0
2024-10-21 12:12:09+00:00,0.0,20.0
2024-10-21 12:12:10+00:00,0.0,20.0
2024-10-21 12:12:22+00:00,0.0,0.0
2024-10-21 12:12:25+00:00,0.0,0.0
2024-10-21 12:12:28+00:00,0.0,0.0
2024-10-21 12:12:31+00:00,0.0,0.0
2024-10-21 12:12:41+00:00,0.0,0.0
2024-10-21 12:12:43+00:00,0.0,0.0
2024-10-21 12:12:46+00:00,0.0,0.0
2024-10-21 12:12:47+00:00,-20.0,-20.0
2024-10-21 12:12:48+00:00,15.0,-5.0
2024-10-21 12:12:49+00:00,-200.0,-205.0
2024-10-21 12:12:50+00:00,200.0,-5.0
2024-10-21 12:12:51+00:00,0.0,-5.0
2024-10-21 12:12:52+00:00,0.0,-5.0
2024-10-21 12:12:53+00:00,0.0,-5.0
2024-10-21 12:12:59+00:00,200.0,400.0
2024-10-21 12:13:11+00:00,0.0,0.0
2024-10-21 12:13:21+00:00,0.0,0.0
2024-10-21 12:13:22+00:00,0.0,0.0
2024-10-21 12:13:25+00:00,200.0,200.0
2024-10-21 12:13:29+00:00,0.0,200.0
2024-10-21 12:13:32+00:00,200.0,400.0
2024-10-21 12:13:34+00:00,100.0,500.0
2024-10-21 12:13:35+00:00,-100.0,200.0
2024-10-21 12:13:38+00:00,200.0,400.0
2024-10-21 12:13:42+00:00,0.0,200.0
2024-10-21 12:13:45+00:00,8.0,208.0
2024-10-21 12:13:46+00:00,-224.0,-16.0
2024-10-21 12:13:47+00:00,0.0,-16.0
2024-10-21 12:13:48+00:00,0.0,-216.0
2024-10-21 12:13:54+00:00,0.0,-216.0
2024-10-21 12:13:55+00:00,0.0,-224.0
2024-10-21 12:13:56+00:00,-27.0,-27.0
2024-10-21 12:14:01+00:00,-173.0,-200.0
2024-10-21 12:14:06+00:00,5.0,-168.0
2024-10-21 12:14:07+00:00,0.0,-168.0
