,ofi_multi_L3_AAPL,ofi_int_10s_AAPL
2024-10-21 11:54:36+00:00,0.0,0.0
2024-10-21 11:54:38+00:00,-200.0,-200.0
2024-10-21 11:54:40+00:00,3.0,-197.0
2024-10-21 11:54:50+00:00,0.0,0.0
2024-10-21 11:54:52+00:00,-3.0,-3.0
2024-10-21 11:54:54+00:00,400.0,397.0
2024-10-21 11:54:58+00:00,0.0,397.0
2024-10-21 11:55:08+00:00,-400.0,-400.0
2024-10-21 11:55:12+00:00,400.0,0.0
2024-10-21 11:55:22+00:00,400.0,400.0
2024-10-21 11:55:26+00:00,200.0,600.0
2024-10-21 11:55:30+00:00,-373.0,227.0
2024-10-21 11:55:34+00:00,-29.0,-202.0
2024-10-21 11:55:38+00:00,0.0,-402.0
2024-10-21 11:55:44+00:00,-771.0,-771.0
2024-10-21 11:55:50+00:00,-100.0,-871.0
2024-10-21 11:55:52+00:00,0.0,-871.0
2024-10-21 11:55:54+00:00,-272.0,-372.0
2024-10-21 11:55:58+00:00,0.0,-372.0
2024-10-21 11:56:06+00:00,0.0,0.0
2024-10-21 11:56:10+00:00,226.0,226.0
2024-10-21 11:56:14+00:00,-27.0,199.0
2024-10-21 11:56:16+00:00,0.0,199.0
2024-10-21 11:56:22+00:00,227.0,200.0
2024-10-21 11:56:24+00:00,-200.0,27.0
2024-10-21 11:56:28+00:00,0.0,27.0
2024-10-21 11:56:34+00:00,0.0,0.0
2024-10-21 11:56:42+00:00,300.0,300.0
2024-10-21 11:56:46+00:00,0.0,300.0
2024-10-21 11:56:50+00:00,0.0,300.0
2024-10-21 11:56:54+00:00,0.0,0.0
2024-10-21 11:57:04+00:00,0.0,0.0
2024-10-21 11:57:06+00:00,1.0,1.0
2024-10-21 11:57:14+00:00,29.0,30.0
2024-10-21 11:57:16+00:00,0.0,29.0
2024-10-21 11:57:20+00:00,-80.0,-51.0
2024-10-21 11:57:22+00:00,194.0,143.0
2024-10-21 11:57:24+00:00,199.0,313.0
2024-10-21 11:57:26+00:00,0.0,313.0
2024-10-21 11:57:28+00:00,-400.0,-87.0
2024-10-21 11:57:30+00:00,500.0,493.0
2024-10-21 11:57:36+00:00,-22.0,78.0
2024-10-21 11:57:38+00:00,200.0,678.0
2024-10-21 11:57:40+00:00,400.0,578.0
2024-10-21 11:57:42+00:00,200.0,778.0
2024-10-21 11:57:48+00:00,200.0,800.0
2024-10-21 11:57:50+00:00,0.0,400.0
2024-10-21 11:57:52+00:00,0.0,200.0
